From,To,Weight,Impact Factor
EXP ECON,GAME ECON BEHAV,58,0.904
INFORM ORGAN-UK,ORGAN SCI,32,2.691
HUM RESOUR MANAGE-US,J MANAGE,157,7.733
EDUC ASSESS EVAL ACC,TEACH TEACH EDUC,16,2.183
ECON RES-EKON ISTRAZ,J FINANC,46,6.043
ARCH PSYCHIAT NURS,BRIT J PSYCHIAT,63,6.347
J CRIM JUST,AM SOCIOL REV,48,4.4
INFORM ORGAN-UK,INFORM SYST RES,18,2.763
J LIBR INF SCI,J ACAD LIBR,22,1.287
J DIVERS HIGH EDUC,J HIGH EDUC,22,1.883
NEUROPSYCHOLOGIA,P NATL ACAD SCI USA,522,9.661
INT J BILING EDUC BI,TESOL QUART,17,2.056
ILR REV,J LABOR ECON,45,2.887
ASIAN PAC MIGR J,SCIENTOMETRICS,10,2.147
CHILD ADOL PSYCH MEN,AM J PSYCHIAT,37,14.176
SUSTAINABILITY-BASEL,J CLEAN PROD,978,5.715
PUBLIC OPIN QUART,AM POLIT SCI REV,76,3.316
FRONT PSYCHOL,J YOUTH ADOLESCENCE,64,3.284
PLOS ONE,PSYCHOL HEALTH,86,2.225
MEM COGNITION,J EXP PSYCHOL GEN,116,4.420
BRIT J SOCIOL,ANNU REV SOCIOL,20,5.404
FAM BUS REV,ACAD MANAGE J,62,7.417
NICOTINE TOB RES,AM J HEALTH BEHAV,41,1.479
J COGN PSYCHOL,J MEM LANG,115,3.065
TRANSPORT RES A-POL,TRANSPORT RES A-POL,517,2.609
PORTA LINGUARUM,INT REV RES OPEN DIS,16,1.734
TRAUMA VIOLENCE ABUS,AGGRESS VIOLENT BEH,35,1.928
ARCH SEX BEHAV,ARCH SEX BEHAV,760,2.720
BMJ OPEN,TOB CONTROL,145,5.469
AN PSICOL-SPAIN,PSYCHOTHER PSYCHOSOM,35,8.964
INT J PROD ECON,INTERFACES,40,0.579
PORTA LINGUARUM,LANG LEARN TECHNOL,14,2.293
ISSUES MENT HEALTH N,AM J PSYCHIAT,39,14.176
PSYCHOTHER RES,J CONSULT CLIN PSYCH,222,4.593
PSYCHOL SCI,P NATL ACAD SCI USA,93,9.661
J CLEAN PROD,J ENVIRON ECON MANAG,142,2.305
QUAL HEALTH RES,SOCIOL HEALTH ILL,70,1.89
J ECON LIT,AM ECON J-MICROECON,15,1.446
J MONETARY ECON,AM ECON REV,267,4.026
SUSTAINABILITY-BASEL,ENVIRON PLANN B,55,1.527
J CAREER ASSESSMENT,J PERS SOC PSYCHOL,47,5.017
NICOTINE TOB RES,PUBLIC HEALTH,29,1.538
EUR J WORK ORGAN PSY,HUM PERFORM,31,1.302
PERS INDIV DIFFER,PERS SOC PSYCHOL REV,135,9.361
J BROADCAST ELECTRON,J COMPUT-MEDIAT COMM,27,4.113
HUM RELAT,ORGANIZATION,115,2.121
FRONT PSYCHOL,PERS PSYCHOL,112,4.362
ASIA PAC J TOUR RES,J TRAVEL TOUR MARK,100,1.453
SOC SCI MED,RES AGING,24,1.214
PSYCHOL ADDICT BEHAV,J CHILD ADOLES SUBST,7,0.506
CULT HEALTH SEX,SOC SCI MED,110,2.797
J HEALTHC MANAG,JAMA-J AM MED ASSOC,15,44.405
AM J COMMUN PSYCHOL,AM J COMMUN PSYCHOL,489,2.108
ARCH SUICIDE RES,PSYCHOL MED,52,5.23
LEARN MEDIA TECHNOL,COMPUT EDUC,14,3.819
KNOWL MAN RES PRACT,ACAD MANAGE REV,66,9.408
DIAGNOSTICA,J ANXIETY DISORD,9,3.105
ORGANIZATION,J MANAGE INQUIRY,15,1.200
JUDGM DECIS MAK,J CONSUM RES,62,3.800
FRONT PSYCHOL,EMOTION,347,3.251
J GERONTOL B-PSYCHOL,AGING NEUROPSYCHOL C,24,1.763
STUD SECOND LANG ACQ,LANG TEACH RES,17,1.741
J ORGAN CHANGE MANAG,J APPL PSYCHOL,73,4.130
EUR J CRIM POLICY RE,CRIMINOLOGY,15,5.019
J APPL SOC PSYCHOL,GROUP PROCESS INTERG,45,1.743
HEALTH QUAL LIFE OUT,QUAL LIFE RES,351,2.344
J ADOLESCENT HEALTH,JAMA-J AM MED ASSOC,84,44.405
HEALTH RISK SOC,J RISK RES,15,1.340
J CLIN NURS,J KOREAN ACAD NURS,11,0.521
PSYCHOL SCI,SCIENCE,112,37.205
PLOS ONE,MINDFULNESS,22,3.015
AM J PSYCHOL,PERS INDIV DIFFER,25,2.005
BUS HORIZONS,HARVARD BUS REV,40,3.227
LANG LEARN TECHNOL,MOD LANG J,60,1.745
TEACH TEACH EDUC,EDUC REV,18,1.464
BMC HEALTH SERV RES,HEALTH AFFAIR,223,4.98
INT J NURS STUD,J NURS RES,10,0.944
ENVIRONMENT,AM BEHAV SCI,7,1.311
J HEALTHC MANAG,HEALTH SERV RES,23,3.089
LIBR TRENDS,LIBR TRENDS,15,0.259
J ATTEN DISORD,J CHILD PSYCHOL PSYC,157,6.226
J VOCAT BEHAV,J COUNS PSYCHOL,73,2.516
AUTISM,J CHILD PSYCHOL PSYC,135,6.226
SCIENTOMETRICS,J INFORMETR,483,2.92
ASIA PAC BUS REV,ACAD MANAGE J,14,7.417
J ELECTRON COMMER RE,J MARKETING RES,39,3.654
ASIA PAC J TOUR RES,INT J HOSP MANAG,106,2.787
J OFF STAT,J R STAT SOC A STAT,20,1.852
COMPR PSYCHIAT,NORD J PSYCHIAT,15,1.406
ASIA PAC J MANAG,ASIA PAC J MANAG,182,2.024
J MENT HEALTH,J MENT HEALTH,124,1.941
CHEM EDUC RES PRACT,EURASIA J MATH SCI T,10,0.903
COMPUT ASSIST LANG L,COMPUT EDUC,66,3.819
J ECON THEORY,AM ECON J-MICROECON,23,1.446
PSYCHOL METHODS,PSYCHOL BULL,49,16.793
ORGAN STUD,HUM RELAT,110,2.622
CURR PSYCHOL,PERS SOC PSYCHOL B,47,2.504
J COUNS PSYCHOL,J COUNS PSYCHOL,303,2.516
COGNITIVE DEV,COGNITION,98,3.414
TRANSFORM BUS ECON,J FINANC,20,6.043
J PUBL ADM RES THEOR,PUBLIC MANAG REV,31,2.293
APPL ERGON,INT J HUM-COMPUT INT,14,1.118
Z PSYCHOSOM MED PSYC,PSYCHOTHER PSYCH MED,12,0.869
PSYCHOL HEALTH MED,J PSYCHOSOM RES,33,2.809
POLIT PSYCHOL,J COMMUNITY APPL SOC,10,1.133
PERSPECT PSYCHOL SCI,SCIENCE,75,37.205
J VOCAT BEHAV,J ORGAN BEHAV,111,3.607
TURK PSIKIYATR DERG,SCHIZOPHR RES,25,3.986
GERIATR NURS,GERONTOLOGIST,41,3.505
LANGUAGE,COGNITION,38,3.414
DISASTERS,RISK ANAL,13,2.518
LEARN INDIVID DIFFER,CREATIVITY RES J,60,1.216
NORD J PSYCHIAT,ACTA PSYCHIAT SCAND,87,6.79
ATTEN PERCEPT PSYCHO,ACTA PSYCHOL,167,2.031
ANN AM ACAD POLIT SS,AM SOCIOL REV,69,4.4
PSYCHOL LEARN MOTIV,J MEM LANG,50,3.065
AUST NZ J PSYCHIAT,PSYCHOL MED,109,5.23
SOC INDIC RES,SOC BEHAV PERSONAL,14,0.548
CHILD DEV,DEV REV,35,4.638
SUSTAINABILITY-BASEL,LANDSCAPE URBAN PLAN,424,4.563
AIDS EDUC PREV,AIDS BEHAV,136,2.916
EUR J DEV PSYCHOL,J ABNORM CHILD PSYCH,17,3.615
J CHILD ADOLES SUBST,J STUD ALCOHOL DRUGS,86,2.5
PERS INDIV DIFFER,J COUNS PSYCHOL,112,2.516
IND MARKET MANAG,EUR MANAG REV,11,1.333
PLOS ONE,J INFORMETR,81,2.92
CROAT J EDUC,INT J SCI EDUC,11,1.240
J CHILD FAM STUD,MEAS EVAL COUNS DEV,7,1.047
FRONT PSYCHOL,J PSYCHOSOM RES,153,2.809
REV EDUC RES,EDUC RESEARCHER,46,3.827
NONPROFIT MANAG LEAD,NONPROF VOLUNT SEC Q,122,1.852
INT J DES,HARVARD BUS REV,9,3.227
HUM RESOUR MANAG J,WORK EMPLOY SOC,26,1.821
LIBR HI TECH,J ACAD LIBR,29,1.287
INT J HUM RESOUR MAN,NEW TECH WORK EMPLOY,11,1.000
COMPUT HUM BEHAV,EDUC SCI-THEOR PRACT,14,0.410
J BLACK PSYCHOL,J YOUTH ADOLESCENCE,26,3.284
J BUS RES,KNOWL MAN RES PRACT,11,1.013
EUR J CRIM POLICY RE,EUR J CRIMINOL,23,1.359
J AM GERIATR SOC,BMC GERIATR,76,2.611
AGGRESSIVE BEHAV,AUST J GUID COUNS,9,0.778
COMPUT HUM BEHAV,ORGAN BEHAV HUM DEC,114,2.454
TEACH TEACH EDUC,BRIT J EDUC PSYCHOL,35,2.403
J ASSOC INF SCI TECH,J MED LIBR ASSOC,15,1.638
J PHONETICS,J MEM LANG,57,3.065
INFORM TECHNOL MANAG,INFORM TECHNOL MANAG,37,1.067
MINDFULNESS,J CONSULT CLIN PSYCH,115,4.593
J ECON PERSPECT,J POLIT ECON,57,3.923
SOCIOLOGY,YOUNG,4,0.707
FRONT PSYCHOL,J RES READ,36,1.564
ANN TOURISM RES,J DESTIN MARK MANAGE,7,1.556
PLOS ONE,J SOC SERV RES,6,0.574
CLIN PSYCHOL REV,BEHAV COGN PSYCHOTH,23,1.697
IMPLEMENT SCI,BMC HEALTH SERV RES,94,1.827
SOC INDIC RES,EUR SOCIOL REV,74,2.062
J AM ACAD CHILD PSY,J ATTEN DISORD,37,3.378
BRIT J HEALTH PSYCH,HEALTH PSYCHOL,77,3.458
REV PSICOL SOC,SEX ROLES,17,1.954
J INT PHON ASSOC,PHONETICA,11,0.458
SOC BEHAV PERSONAL,J APPL PSYCHOL,116,4.130
J PSYCHIATR RES,INT J METH PSYCH RES,26,3.176
FRONT PSYCHOL,SOC INFLUENCE,16,1
COUNS PSYCHOL,COUNS PSYCHOL,156,1.181
BMJ OPEN,HEALTH SOC CARE COMM,49,2.047
CAN J ADM SCI,J BUS ETHICS,20,2.354
M&SOM-MANUF SERV OP,MANAGE SCI,233,2.822
J APPL PSYCHOL,J APPL PSYCHOL,1214,4.130
INT J HOSP MANAG,INT J CONTEMP HOSP M,184,3.196
BEHAV COGN PSYCHOTH,BEHAV RES THER,143,4.064
APPL MEAS EDUC,APPL MEAS EDUC,41,0.75
HUM DEV,PSYCHOL REV,15,7.638
BEHAV DISORDERS,PSYCHOL SCHOOLS,13,1.190
PSYCHIAT RES,PERSPECT PSYCHIATR C,17,1.130
J MENT HEALTH,INT J MENT HEALTH NU,26,1.869
J EXP CHILD PSYCHOL,DEV NEUROPSYCHOL,56,1.813
INT J OPER PROD MAN,INT J PROD RES,101,2.325
J STUD ALCOHOL DRUGS,DRUG ALCOHOL DEPEN,137,3.222
BRIT J EDUC PSYCHOL,J EXP CHILD PSYCHOL,36,2.602
PATIENT PREFER ADHER,RES SOC ADMIN PHARM,24,2.403
ENTREP THEORY PRACT,J BUS VENTURING,296,5.774
EPJ DATA SCI,EPJ DATA SCI,17,2.787
INT J NURS STUD,INT J STRESS MANAGE,13,1.632
BRIT J DEV PSYCHOL,DEVELOPMENTAL SCI,70,4.604
FRONT PSYCHOL,ATTEN PERCEPT PSYCHO,158,1.863
VIOLENCE VICTIMS,J INTERPERS VIOLENCE,168,1.940
PSYCHIAT RES,AM J ADDICTION,38,1.873
S AFR J BUS MANAG,STRATEGIC MANAGE J,25,4.461
ETHOS,ANNU REV ANTHROPOL,15,2.413
HUM RESOUR DEV REV,ADULT EDUC QUART,14,0.919
BMC PUBLIC HEALTH,SEX HEALTH,25,1.238
ADV EXP SOC PSYCHOL,PERS SOC PSYCHOL B,36,2.504
RES LANG SOC INTERAC,HUM STUD,9,0.592
EDUC STUD MATH,EDUC STUD MATH,278,0.959
LANG LEARN TECHNOL,STUD SECOND LANG ACQ,29,2.044
YOUTH VIOLENCE JUV J,CRIME DELINQUENCY,27,1.861
PLOS ONE,LANG SPEECH,28,1.471
STRATEGIC MANAGE J,IND CORP CHANGE,65,1.777
J PSYCHOLINGUIST RES,MEM COGNITION,61,2.253
PSYCHIAT RES,DEPRESS ANXIETY,165,4.971
J MANAGE,ACAD MANAGE J,553,7.417
CHILD HEALTH CARE,CHILD HEALTH CARE,11,0.4
DEATH STUD,SUICIDE LIFE-THREAT,82,3.252
CIN-COMPUT INFORM NU,CIN-COMPUT INFORM NU,86,1.301
IND MARKET MANAG,BUS HORIZONS,30,2.157
INNOV EDUC TEACH INT,ASSESS EVAL HIGH EDU,30,1.391
J ADOLESCENCE,EUR PSYCHOL,10,3.419
J CREATIVE BEHAV,CREATIVITY RES J,96,1.216
TRANSPORT J,J OPER MANAG,50,5.207
J SERV RES-US,J SERV RES-US,171,6.847
J ADULT DEV,PSYCHOL BULL,17,16.793
PERS REV,J MANAGE,105,7.733
LEARN INDIVID DIFFER,SCAND J EDUC RES,17,0.768
COMMUNITY MENT HLT J,ISR J PSYCHIATR REL,6,0.62
MANAGE SCI,J RISK UNCERTAINTY,44,1.298
SECUR J,J ENVIRON PSYCHOL,16,3.494
WESTERN J NURS RES,RES NURS HEALTH,28,1.693
ADV HEALTH SCI EDUC,ADV HEALTH SCI EDUC,122,1.852
PERS INDIV DIFFER,ANNU REV PSYCHOL,150,19.95
INT J RES MARK,J MARKETING,292,5.318
J SPEC EDUC,J APPL BEHAV ANAL,12,0.914
PSYCHOL VIOLENCE,CHILD ABUSE NEGLECT,67,2.293
COMPUT HUM BEHAV,INT J ELECTRON COMM,103,3.900
EUR MANAG J,HUM RESOUR MANAG J,19,2.147
SUSTAINABILITY-BASEL,APPL GEOGR,124,2.687
DEV REV,J BLACK PSYCHOL,14,1.66
INT J SCI MATH EDUC,MATH THINK LEARN,17,0.962
INT J MANPOWER,J LABOR ECON,43,2.887
DEV PSYCHOL,J PERS SOC PSYCHOL,122,5.017
J ELECTRON COMMER RE,J CONSUM RES,45,3.800
CHILD ADOL PSYCH CL,J SUBST ABUSE TREAT,63,2.868
J ORGAN END USER COM,J ORGAN END USER COM,12,0.759
J BALT SCI EDUC,CHEM EDUC RES PRACT,43,1.906
DISABIL REHABIL,WORK,43,0.779
HUM RELAT,J MANAGE INQUIRY,26,1.200
J PSYCHOL,PERS INDIV DIFFER,74,2.005
AM J ADDICTION,DRUG ALCOHOL DEPEN,154,3.222
J CLIN NURS,NURS INQ,17,1.143
TECHNOL FORECAST SOC,TECHNOVATION,152,3.265
J YOUTH ADOLESCENCE,J YOUTH ADOLESCENCE,594,3.284
THEOR PRACT,EDUC RESEARCHER,19,3.827
INT J CLIN HLTH PSYC,TER PSICOL,11,0.771
SAFETY SCI,J CONTING CRISIS MAN,19,1.373
ASSESSMENT,PSYCHOL ASSESSMENT,106,3.307
J AFFECT DISORDERS,FRONT PSYCHIATRY,36,3.532
ENVIRON IMPACT ASSES,J ENVIRON MANAGE,71,4.010
J BUS RES,J ENG TECHNOL MANAGE,23,2.419
J INF SCI,INFORM PROCESS MANAG,55,2.391
MEM COGNITION,CAN J EXP PSYCHOL,21,1.055
J EXP ANAL BEHAV,LEARN MOTIV,35,0.673
PLOS ONE,EUR EAT DISORD REV,62,3.391
COMPUT HUM BEHAV,INFORM SOC,41,1.558
ADM POLICY MENT HLTH,ADM POLICY MENT HLTH,300,2.616
HUM RESOUR DEV REV,HUM RESOUR DEV REV,91,1.795
COMPR PSYCHIAT,PSYCHOPATHOLOGY,32,1.604
MANAGE SCI,RAND J ECON,99,1.465
PSYCHIAT RES,J BEHAV ADDICT,13,4.134
AUTISM RES,J CHILD PSYCHOL PSYC,173,6.226
PLOS ONE,J R STAT SOC A STAT,70,1.852
ANN OPER RES,J OPER RES SOC,118,1.077
J PHYS ACT HEALTH,AM J HEALTH BEHAV,23,1.479
EPIDEMIOL PSYCH SCI,AM J PSYCHIAT,52,14.176
COMPUT HUM BEHAV,PERS SOC PSYCHOL B,172,2.504
INT J COMMUN-US,COMMUNICATIONS-GER,12,0.933
SPAN J PSYCHOL,SPAN J PSYCHOL,32,0.502
J HOSP TOUR RES,J SUSTAIN TOUR,26,2.978
EUR J MARKETING,INT J COMMUN-US,29,1.498
CLIN PSYCHOL REV,BEHAV RES THER,256,4.064
BRIT ACCOUNT REV,J ACCOUNT RES,49,3
J AFFECT DISORDERS,J AM ACAD CHILD PSY,280,6.442
COMPUT HUM BEHAV,DEVIANT BEHAV,16,1.052
AM J AGR ECON,ECONOMETRICA,72,3.379
QUAL LIFE RES,HEALTH QUAL LIFE OUT,231,2.143
PLOS ONE,ANNU REV ANTHROPOL,43,2.413
SUICIDE LIFE-THREAT,J CONSULT CLIN PSYCH,68,4.593
ACAD MANAG ANN,J PERS SOC PSYCHOL,89,5.017
ELECTRON COMMER RES,J MARKETING,41,5.318
RECALL,ELT J,9,1.125
J ECON PSYCHOL,J NEUROSCI PSYCHOL E,3,1.188
J CROSS CULT PSYCHOL,INT J INTERCULT REL,110,1.183
SOC PROBL,ANNU REV SOCIOL,32,5.404
WORK STRESS,J OCCUP HEALTH PSYCH,35,2.679
SOC FORCES,AM J SOCIOL,187,3.088
INT J HUM RESOUR MAN,J ORGAN BEHAV,176,3.607
BRIT J SOCIOL,AM J SOCIOL,34,3.088
J PERS,PERS SOC PSYCHOL B,69,2.504
PERS INDIV DIFFER,J BEHAV DECIS MAKING,28,1.738
JUDGM DECIS MAK,J EXP SOC PSYCHOL,39,2.159
HEALTH SERV RES,GERONTOLOGIST,66,3.505
TECHNOL FORECAST SOC,RES TECHNOL MANAGE,55,2.429
AM J ORTHOPSYCHIAT,CULT DIVERS ETHN MIN,25,2.04
SUSTAINABILITY-BASEL,SUSTAINABILITY-BASEL,1393,1.789
STUD EDUC EVAL,STUD HIGH EDUC,22,1.527
RES AGING,J GERONTOL B-PSYCHOL,90,3.064
LAW HUMAN BEHAV,PSYCHOL BULL,45,16.793
BMC PUBLIC HEALTH,INT J SOC RES METHOD,9,1.396
MEAS EVAL COUNS DEV,PERS INDIV DIFFER,24,2.005
J MANAGE STUD,J MANAGE STUD,225,3.962
J CLIN PSYCHOL,J PERS SOC PSYCHOL,65,5.017
TRANSPORT RES A-POL,TRANSPORT RES REC,338,0.592
PLOS ONE,J SEX RES,47,2.902
BRIT J SOC PSYCHOL,GROUP PROCESS INTERG,31,1.743
EUR J PSYCHOL APPL L,LAW HUMAN BEHAV,9,2.822
PSYCHIAT RES,PSYCHOTHER PSYCHOSOM,79,8.964
FRONT PSYCHOL,EARLY CHILD RES Q,54,2.436
PROJ MANAG J,INT J PROJ MANAG,133,4.034
MARKET LETT,J CONSUM PSYCHOL,52,3.385
PERS RELATIONSHIP,PERS INDIV DIFFER,23,2.005
BRIT J EDUC PSYCHOL,CHILD DEV,52,4.195
NEUROIMAGE,TRENDS COGN SCI,854,15.402
Q J EXP PSYCHOL,MEM COGNITION,196,2.253
BMJ OPEN,PUBLIC HEALTH,60,1.538
J NERV MENT DIS,BRIT J PSYCHIAT,109,6.347
HUM NATURE-INT BIOS,P NATL ACAD SCI USA,40,9.661
LEADERSHIP-LONDON,LEADERSHIP QUART,133,3.094
SAFETY SCI,J SAFETY RES,180,1.841
J GLOB INF TECH MAN,MIS QUART,27,7.268
SURV RES METHODS-GER,J OFF STAT,21,0.411
ATTACH HUM DEV,PSYCHOL BULL,33,16.793
J MARKETING,J ACAD MARKET SCI,104,5.888
J ENG EDUC,ENG STUD,7,0.234
PLOS ONE,AUTISM RES,47,3.765
PSYCHON B REV,PSYCHOL REV,276,7.638
CLIN PSYCHOL-UK,BEHAV MODIF,10,1.455
PERS REV,HUM RESOUR MANAGE-US,50,1.817
MIS Q EXEC,MIT SLOAN MANAGE REV,4,2.705
CULT ORGAN,HUM RELAT,14,2.622
J REGUL ECON,ECONOMETRICA,18,3.379
AIDS BEHAV,J HOMOSEXUAL,33,1.369
INTERACT STUD,CHILD DEV,9,4.195
HEALTH PSYCHOL REV,PSYCHOL HEALTH,49,2.225
J CONFLICT RESOLUT,FOREIGN POL ANAL-US,7,0.841
DISCOURSE PROCESS,DISCOURSE PROCESS,71,2.074
COMPUT HUM BEHAV,SOCIOL SPECTRUM,7,0.421
J APPL PSYCHOL,SMALL GR RES,25,1.440
INTERACT LEARN ENVIR,ASIA-PAC EDUC RES,9,0.576
AM POLIT RES,AM J POLIT SCI,231,5.044
E M EKON MANAG,AMFITEATRU ECON,7,0.581
PLOS ONE,AM J ORTHOPSYCHIAT,34,1.692
FRONT PSYCHOL,J FAM THEOR REV,5,1.568
HUM RESOUR MANAG J,J MANAGE,60,7.733
J COMPUT HIGH EDUC,COMPUT HUM BEHAV,13,3.435
INT J SOC PSYCHIATR,WORLD PSYCHIATRY,48,26.561
PSYCHOSOMATICS,PSYCHOSOM MED,31,3.863
PSYCHOL RES-PSYCH FO,COGNITION,125,3.414
INT J OFFENDER THER,JUSTICE Q,76,3.072
BMC HEALTH SERV RES,AUST NZ J PUBL HEAL,28,1.69
CAN J EXP PSYCHOL,CAN J EXP PSYCHOL,30,1.055
COMMUNITY MENT HLT J,PSYCHIAT SERV,231,2.888
EUR MANAG J,J APPL PSYCHOL,94,4.130
MEDIA PSYCHOL,J COMMUN,57,3.914
EURASIA J MATH SCI T,J RES MATH EDUC,72,1.906
LAND USE POLICY,LAND USE POLICY,1034,3.089
BEHAV RES METHODS,BEHAV RES METHODS,454,3.623
J BUS PSYCHOL,J MANAGE,75,7.733
PERS INDIV DIFFER,EUR J SOC PSYCHOL,77,1.973
J EXP PSYCHOL GEN,J EXP PSYCHOL GEN,204,4.420
PSYCHOPHYSIOLOGY,PLOS ONE,135,2.806
EUR SPORT MANAG Q,J ADVERTISING,25,2.896
QUAL QUANT,ENERG POLICY,62,4.140
FRONT PSYCHOL,EUR J PSYCHOL APPL L,9,2.286
INT J LOGIST MANAG,INT J PROD ECON,93,3.493
INT J INFORM MANAGE,INFORM SYST RES,116,2.763
J TEACH EDUC,J RES MATH EDUC,26,1.906
CULT ORGAN,CULT ORGAN,31,0.489
AM ECON REV,REV ECON STAT,95,2.926
PSYCHOL CRIME LAW,LEGAL CRIMINOL PSYCH,36,1.822
J FINANC ECON,J POLIT ECON,147,3.923
COMPUT HUM BEHAV,CIN-COMPUT INFORM NU,12,1.301
J PSYCHOEDUC ASSESS,EDUC PSYCHOL MEAS,36,1.548
FRONT PSYCHOL,DEV PSYCHOPATHOL,160,3.244
BMJ OPEN,SOC SCI MED,485,2.797
SCHOOL PSYCHOL INT,J YOUTH ADOLESCENCE,24,3.284
NORD J PSYCHIAT,PSYCHIAT RES,75,2.528
SOC PSYCHOL EDUC,SOC PSYCHOL EDUC,49,1.139
J LEADERSH ORG STUD,STRATEGIC MANAGE J,56,4.461
GROUP DECIS NEGOT,J PERS SOC PSYCHOL,34,5.017
APPL PSYCHOPHYS BIOF,APPL PSYCHOPHYS BIOF,75,1.017
APPL SOFT COMPUT,J BUS ECON MANAG,8,0.968
J APPL PSYCHOL,RES ORGAN BEHAV,72,2.55
PSYCHOMETRIKA,J EDUC MEAS,28,0.979
TRANSPORT RES D-TR E,EUR J OPER RES,102,3.297
INT J HUM RESOUR MAN,INT J HUM RESOUR MAN,573,1.650
J IMMIGR MINOR HEALT,J HEALTH CARE POOR U,28,0.916
J EDUC COMPUT RES,J EDUC COMPUT RES,50,0.678
ANN OPER RES,GROUP DECIS NEGOT,18,1.688
J CHILD ADOLES SUBST,J ADOLESCENT HEALTH,79,3.974
J LABOR ECON,ILR REV,31,1.419
INT J IND ORGAN,AM ECON REV,116,4.026
COMPUT EDUC,EDUC TECHNOL SOC,102,1.584
INT J PROD RES,J OPER RES SOC,167,1.077
EMOTION,MOTIV EMOTION,44,2.067
APPL ENERG,ENERG POLICY,1837,4.140
HEALTH EXPECT,BMC HEALTH SERV RES,43,1.827
E M EKON MANAG,E M EKON MANAG,60,1.163
SCI COMMUN,J COMMUN,39,3.914
INFORM TECHNOL PEOPL,ORGAN SCI,47,2.691
COGNITIVE THER RES,BEHAV THER,85,3.434
PUBLIC RELAT REV,ASIAN J COMMUN,10,0.638
LEGAL CRIMINOL PSYCH,LAW HUMAN BEHAV,71,2.822
INT J LANG COMM DIS,INT J LANG COMM DIS,103,2.195
ANN TOURISM RES,J SUSTAIN TOUR,57,2.978
PSYCHIAT RES,VERHALTENSTHERAPIE,8,0.878
JUSTICE Q,CRIME DELINQUENCY,62,1.861
INT J HUM-COMPUT ST,COMMUN ACM,26,4.027
CRIME DELINQUENCY,SOCIOL QUART,17,1.237
BEHAV THER,COGN BEHAV THERAPY,26,2.264
ACAD MANAGE J,STRATEGIC MANAGE J,585,4.461
ANNU REV ORGAN PSYCH,ORGAN BEHAV HUM DEC,58,2.454
MANAGE DECIS,ACAD MANAGE J,389,7.417
INT J OFFENDER THER,PSYCHOL CRIME LAW,31,1.408
DAEDALUS-US,DAEDALUS-US,7,0.941
SOC PSYCHOL-GERMANY,EUR J SOC PSYCHOL,38,1.973
CURR ISSUES TOUR,J TRAVEL RES,188,4.564
INT J COMMUN-US,MANAGE COMMUN Q,18,1.091
EUR ADDICT RES,ADDICTION,76,5.789
CHILD DEV,J EXP CHILD PSYCHOL,132,2.602
SYST RES BEHAV SCI,MANAGE SCI,15,2.822
HUM RESOUR MANAGE R,HUM RESOUR MANAGE-US,49,1.817
J AFFECT DISORDERS,BEHAV RES THER,269,4.064
AM J ADDICTION,J SUBST ABUSE TREAT,45,2.868
PSYCHOL SCI PUBL INT,PSYCHOL SCI PUBL INT,8,14.143
J HAPPINESS STUD,EUR J PSYCHOL ASSESS,21,2.328
HUMOR,J ADVERTISING,10,2.896
DECISION SCI,M&SOM-MANUF SERV OP,51,1.683
BRIT J EDUC TECHNOL,EDUC TECHNOL SOC,51,1.584
DEMOGRAPHY,J MARRIAGE FAM,221,2.238
COGN TECHNOL WORK,SAFETY SCI,43,2.246
J COMMUN HEALTH,AM J PUBLIC HEALTH,102,3.858
J DOC,J ASSOC INF SCI TECH,16,2.322
J EXP CHILD PSYCHOL,SCI STUD READ,54,3.056
HEALTH INFORM J,HEALTH INF MANAG J,4,0.778
INT J INTERCULT REL,PERS SOC PSYCHOL B,45,2.504
TELEMAT INFORM,ASIAN J COMMUN,7,0.638
MOD LANG J,HUMOR,10,0.655
SCIENTOMETRICS,J MED LIBR ASSOC,13,1.638
J DESTIN MARK MANAGE,J TRAVEL RES,146,4.564
SERV BUS,J ACAD MARKET SCI,68,5.888
PLOS ONE,AGGRESSIVE BEHAV,42,2.747
J BUS ETHICS,J MANAGE INQUIRY,26,1.200
SOCIOL QUART,SOC FORCES,52,2.113
J ENVIRON PSYCHOL,SOC INFLUENCE,6,1
J EDUC COMPUT RES,INTERNET HIGH EDUC,24,4.238
COGNITIVE DEV,BRIT J DEV PSYCHOL,42,1.712
COMPUT ASSIST LANG L,MOD LANG J,66,1.745
J INDIVID DIFFER,PERS INDIV DIFFER,84,2.005
J PHONETICS,J INT PHON ASSOC,45,0.595
J CHILD FAM STUD,J AM ACAD CHILD PSY,325,6.442
POLIT PSYCHOL,AM J POLIT SCI,97,5.044
Q J SPEECH,Q J SPEECH,70,0.46
PLOS ONE,INT J CLIN HLTH PSYC,11,2.567
J RES EDUC EFF,J RES EDUC EFF,46,1.31
ARCH SEX BEHAV,J PERS SOC PSYCHOL,160,5.017
FAM BUS REV,J SMALL BUS MANAGE,54,2.876
PSYCHOL BELG,J PERS SOC PSYCHOL,43,5.017
INTEGR PSYCHOL BEHAV,PSYCHOL REV,21,7.638
QME-QUANT MARK ECON,J POLIT ECON,13,3.923
PLOS ONE,I-PERCEPTION,14,1.051
CONSCIOUS COGN,PSYCHOL SCI,138,5.667
CURR ANTHROPOL,AM ANTHROPOL,78,1.58
JOURNALISM STUD,J COMMUN,39,3.914
APPL RES QUAL LIFE,APPL RES QUAL LIFE,49,1.286
